# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
3.150000000000000000e+02,6.832934008518901092e-02,8.756743425298530652e-05,1.502235402085787264e-02,1.843336541743045010e-01,3.162277660168379134e-02,2.346274239494463895e+06
3.140000000000000000e+02,6.962662001380534593e-02,9.047180080488524852e-05,1.511105411938087201e-02,1.893295810472646057e-01,3.162277660168379134e-02,2.339330403589986730e+06
3.130000000000000000e+02,7.092837154533986055e-02,9.331150406611449287e-05,1.520053214226504967e-02,1.941227333249235798e-01,3.162277660168379134e-02,2.332387196967303753e+06
3.120000000000000000e+02,7.223463431968475679e-02,9.617345727198282727e-05,1.529079698309989549e-02,1.988955682090901289e-01,3.162277660168379134e-02,2.325444633587445132e+06
3.110000000000000000e+02,7.354544843611747484e-02,9.907587248829218115e-05,1.538185765936917609e-02,2.036850328286461953e-01,3.162277660168379134e-02,2.318502727552548051e+06
3.100000000000000000e+02,7.486085445980995845e-02,1.020193877871584232e-04,1.547372331446040215e-02,2.084912754009884128e-01,3.162277660168379134e-02,2.311561493107923307e+06
3.090000000000000000e+02,7.618089342844888701e-02,1.050046527800684704e-04,1.556640321971084796e-02,2.133144458699920976e-01,3.162277660168379134e-02,2.304620944644160103e+06
3.080000000000000000e+02,7.750560685895976909e-02,1.080323288545347477e-04,1.565990677649086935e-02,2.181546959305797340e-01,3.162277660168379134e-02,2.297681096699271817e+06
3.070000000000000000e+02,7.883503675435038494e-02,1.111030894161811345e-04,1.575424351832545658e-02,2.230121790537257509e-01,3.162277660168379134e-02,2.290741963960870169e+06
3.060000000000000000e+02,8.016922561066346098e-02,1.142176201363721795e-04,1.584942311305443177e-02,2.278870505118600898e-01,3.162277660168379134e-02,2.283803561268386897e+06
3.050000000000000000e+02,8.150821642404633416e-02,1.173766192055382526e-04,1.594545536503236965e-02,2.327794674046995416e-01,3.162277660168379134e-02,2.276865903615327552e+06
3.040000000000000000e+02,8.285205269794045091e-02,1.205807975923402919e-04,1.604235021736891489e-02,2.376895886855167894e-01,3.162277660168379134e-02,2.269929006151567679e+06
3.030000000000000000e+02,8.420077845039081188e-02,1.238308793088174753e-04,1.614011775421018285e-02,2.426175751878476006e-01,3.162277660168379134e-02,2.262992884185692761e+06
3.020000000000000000e+02,8.555443822147813793e-02,1.271276016816724394e-04,1.623876820306232108e-02,2.475635896526467428e-01,3.162277660168379134e-02,2.256057553187371697e+06
3.010000000000000000e+02,8.691307708087654682e-02,1.304717156298487062e-04,1.633831193715783170e-02,2.525277967559020897e-01,3.162277660168379134e-02,2.249123028789778706e+06
3.000000000000000000e+02,8.827674063553772599e-02,1.336812750944954109e-04,1.643875947786558114e-02,2.571588874351210530e-01,3.162277660168379134e-02,2.242189326792057604e+06
2.990000000000000000e+02,8.964547503750780466e-02,1.368722893895926794e-04,1.654012149714548935e-02,2.616837990624847343e-01,3.162277660168379134e-02,2.235256463161826599e+06
2.980000000000000000e+02,9.101932699187681441e-02,1.401090046443125730e-04,1.664240882004857855e-02,2.662256288533140780e-01,3.162277660168379134e-02,2.228324454037731048e+06
2.970000000000000000e+02,9.239834376485861478e-02,1.433921604929604457e-04,1.674563242726343631e-02,2.707845330654194971e-01,3.162277660168379134e-02,2.221393315732040908e+06
2.960000000000000000e+02,9.378257319201367681e-02,1.467225103351751697e-04,1.684980345771001226e-02,2.753606698388195162e-01,3.162277660168379134e-02,2.214463064733293839e+06
2.950000000000000000e+02,9.517206368661004778e-02,1.501008216264447938e-04,1.695493321118156718e-02,2.799541992233814947e-01,3.162277660168379134e-02,2.207533717708988115e+06
2.940000000000000000e+02,9.656686424812870040e-02,1.535278761754593703e-04,1.706103315103593004e-02,2.845652832069395788e-01,3.162277660168379134e-02,2.200605291508322582e+06
2.930000000000000000e+02,9.796702447091211463e-02,1.570044704484690296e-04,1.716811490693691961e-02,2.891940857438859425e-01,3.162277660168379134e-02,2.193677803164985497e+06
2.920000000000000000e+02,9.937259455296292010e-02,1.605314158808355456e-04,1.727619027764690229e-02,2.938407727842583528e-01,3.162277660168379134e-02,2.186751269899994135e+06
2.910000000000000000e+02,1.007836253048962766e-01,1.641095391959662881e-04,1.738527123387166237e-02,2.985055123033360513e-01,3.162277660168379134e-02,2.179825709124589805e+06
2.900000000000000000e+02,1.022001681590431477e-01,1.677396827318101340e-04,1.749536992115846568e-02,3.031884743317342368e-01,3.162277660168379134e-02,2.172901138443179429e+06
2.890000000000000000e+02,1.036222751787125862e-01,1.714227047751223627e-04,1.760649866284850346e-02,3.078898309860242932e-01,3.162277660168379134e-02,2.165977575656335801e+06
2.880000000000000000e+02,1.050499990676140027e-01,1.750904925596260674e-04,1.771866996308477105e-02,3.124866337500133429e-01,3.162277660168379134e-02,2.159055038763849530e+06
